table_schema,table_name,columns
public,badges,"id text NOT NULL, name text NOT NULL, description text, icon text, requirement_type text, requirement_value integer, created_at timestamp with time zone"
public,chapters,"id uuid NOT NULL, language_id text NOT NULL, chapter_number integer NOT NULL, title text NOT NULL, description text, order_index integer NOT NULL, created_at timestamp with time zone, updated_at timestamp with time zone"
public,code_executions,"id uuid NOT NULL, user_id uuid, language text NOT NULL, code text NOT NULL, output text, error text, execution_time integer NOT NULL, created_at timestamp with time zone"
public,languages,"id text NOT NULL, name text NOT NULL, display_name text NOT NULL, icon text NOT NULL, can_run_in_browser boolean, created_at timestamp with time zone"
public,learning_paths,"id uuid NOT NULL, language_id text, title text NOT NULL, description text, goal_id text NOT NULL, icon text, color text, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
public,lesson_submissions,"id uuid NOT NULL, user_id uuid, lesson_id uuid NOT NULL, code text NOT NULL, is_correct boolean, test_score integer, ai_score integer, final_score integer, grade_level text, test_results jsonb, ai_analysis jsonb, feedback text, grading_method text, override_by uuid, override_at timestamp with time zone, override_note text, execution_time integer, submitted_at timestamp with time zone, graded_at timestamp with time zone"
public,lesson_test_cases,"id uuid NOT NULL, lesson_id uuid NOT NULL, input jsonb NOT NULL, expected_output jsonb NOT NULL, weight integer, timeout integer, description text NOT NULL, is_hidden boolean, order_index integer NOT NULL, created_at timestamp with time zone, updated_at timestamp with time zone"
public,lessons,"id uuid NOT NULL, chapter_id uuid NOT NULL, lesson_id text NOT NULL, title text NOT NULL, description text, code text, insight text, order_index integer NOT NULL, difficulty text, estimated_time integer, starter_code text, task_description text, hint text, common_mistakes text, solution_code text, is_aha_lesson boolean, created_at timestamp with time zone, updated_at timestamp with time zone, validation_type text, validation_rules jsonb, success_output text, failure_hint text, grading_mode text"
public,path_chapters,"path_id uuid NOT NULL, chapter_id uuid NOT NULL, order_index integer NOT NULL"
public,pvp_matches,"id uuid NOT NULL, room_code character NOT NULL, mode USER-DEFINED NOT NULL, status USER-DEFINED NOT NULL, language_id text, question_ids ARRAY NOT NULL, current_question_index integer, max_players integer NOT NULL, time_per_question integer NOT NULL, started_at timestamp with time zone, ended_at timestamp with time zone, winner_id uuid, created_at timestamp with time zone, updated_at timestamp with time zone, difficulty text"
public,pvp_participants,"id uuid NOT NULL, match_id uuid NOT NULL, user_id uuid NOT NULL, is_ready boolean, is_connected boolean, total_score integer, questions_answered integer, correct_answers integer, final_rank integer, joined_at timestamp with time zone, left_at timestamp with time zone"
public,pvp_questions,"id uuid NOT NULL, type USER-DEFINED NOT NULL, language_id text, difficulty text NOT NULL, question_text text, options jsonb, correct_answer text, problem_title text, problem_description text, starter_code text, test_cases jsonb, solution_code text, time_limit integer NOT NULL, points integer NOT NULL, tags ARRAY, times_used integer, average_solve_time integer, created_at timestamp with time zone, updated_at timestamp with time zone"
public,pvp_reactions,"id uuid NOT NULL, match_id uuid NOT NULL, user_id uuid NOT NULL, emoji text NOT NULL, target_user_id uuid, created_at timestamp with time zone"
public,pvp_submissions,"id uuid NOT NULL, match_id uuid NOT NULL, user_id uuid NOT NULL, question_id uuid NOT NULL, submission_type USER-DEFINED NOT NULL, selected_answer text, code text, execution_output text, execution_error text, test_results jsonb, is_correct boolean NOT NULL, points_earned integer, time_taken integer NOT NULL, submission_rank integer, submitted_at timestamp with time zone"
public,pvp_user_stats,"user_id uuid NOT NULL, total_matches integer, matches_won integer, matches_lost integer, total_score integer, average_rank numeric, best_rank integer, total_questions_answered integer, correct_answers integer, accuracy_rate numeric, average_answer_time integer, fastest_answer_time integer, current_win_streak integer, longest_win_streak integer, rating integer, peak_rating integer, updated_at timestamp with time zone"
public,user_badges,"user_id uuid NOT NULL, badge_id text NOT NULL, awarded_at timestamp with time zone"
public,user_daily_activity,"id uuid NOT NULL, user_id uuid NOT NULL, activity_date date NOT NULL, lessons_completed integer, points_earned integer, time_spent_minutes integer, created_at timestamp with time zone"
public,user_profiles,"id uuid NOT NULL, display_name text, avatar_url text, bio text, preferred_language text, learning_goal text, onboarding_completed boolean, experience_level text, current_path_id uuid, points integer, created_at timestamp with time zone, updated_at timestamp with time zone"
public,user_progress,"id uuid NOT NULL, user_id uuid NOT NULL, lesson_id uuid NOT NULL, status text, completed_at timestamp with time zone, time_spent integer, created_at timestamp with time zone, updated_at timestamp with time zone"
public,user_streaks,"user_id uuid NOT NULL, current_streak integer, longest_streak integer, last_activity_date date, updated_at timestamp with time zone"
